TYPE,SUBLOCALITY,PRICE,PROPERTYSQFT,BEDS,BATH
Multi-family home for sale,Kings County,1479000,4200.0,7,3.0
Pending,Kings County,559900,1886.0,5,2.0
House for sale,Richmond County,599000,1196.0,3,2.0
Multi-family home for sale,Queens,2480000,2740.0,7,6.0
Multi-family home for sale,Kings County,5995000,6500.0,8,6.0
Condo for sale,New York,4750000,2060.0,3,2.0
Multi-family home for sale,Richmond County,778000,1300.0,4,3.0
Multi-family home for sale,Bronx,1125000,3354.0,6,3.0
Condo for sale,Queens,550000,721.0,1,1.0
Townhouse for sale,Kings County,1775000,2078.0,4,4.0
Condo for sale,Brooklyn,888000,1146.0,2,2.0
House for sale,Richmond County,849000,2256.0,3,2.0
Co-op for sale,The Bronx,185000,500.0,3,1.0
Multi-family home for sale,Richmond County,1250000,2700.0,5,4.0
Co-op for sale,Queens,349000,800.0,2,1.0
Co-op for sale,New York,575000,850.0,1,1.0
Condo for sale,Brooklyn,10800000,4544.0,5,6.0
Co-op for sale,The Bronx,239000,750.0,1,1.0
Multi-family home for sale,Bronx,6950000,32000.0,6,6.0
Multi-family home for sale,Bronx,979000,2392.0,5,2.0
Condo for sale,Brooklyn,599999,932.0,2,1.0
Condo for sale,Queens,699000,1290.0,3,2.0
House for sale,Kings County,649000,1188.0,3,2.0
Condo for sale,New York,590000,579.0,3,1.0
Multi-family home for sale,Kings County,2288000,3280.0,6,4.0
House for sale,Kings County,1175000,1240.0,3,2.0
Condo for sale,New York,838000,706.0,3,2.0
Condo for sale,New York,1345000,752.0,1,2.0
Co-op for sale,Queens,339000,910.0,1,1.0
Contingent,Kings County,2499000,2268.0,7,4.0
Co-op for sale,Queens,289000,750.0,1,1.0
Multi-family home for sale,Queens,1350000,3210.0,3,5.0
House for sale,Kings County,850000,1122.0,2,2.0
Townhouse for sale,Kings County,1450000,2800.0,6,4.0
Condo for sale,New York,995000,1175.0,3,2.0
House for sale,New York,880000,1120.0,2,2.0
Condo for sale,The Bronx,330000,1067.0,3,2.0
Multi-family home for sale,Richmond County,789000,1900.0,3,4.0
Co-op for sale,Brooklyn,288000,800.0,1,1.0
Co-op for sale,New York,2399000,2391.0,2,2.0
House for sale,Kings County,589000,1320.0,3,2.0
Contingent,New York,1495000,1590.0,3,2.0
Co-op for sale,Brooklyn,380000,850.0,2,1.0
Multi-family home for sale,Bronx,1800000,3969.0,11,5.0
Townhouse for sale,Queens,939000,1728.0,3,2.0
Condo for sale,Queens,665000,1120.0,2,1.0
Condo for sale,Brooklyn,899000,1151.0,1,2.0
Townhouse for sale,New York,10750000,5771.0,5,6.0
Townhouse for sale,New York,3200000,5400.0,5,6.0
Townhouse for sale,Kings County,399985,1148.0,2,1.0
Condo for sale,New York,1385000,875.0,1,2.0
Pending,Richmond County,769000,1170.0,3,2.0
Condo for sale,New York,1385000,875.0,1,2.0
Pending,Richmond County,769000,1170.0,3,2.0
Condo for sale,Brooklyn,625000,458.0,3,1.0
Co-op for sale,Brooklyn,419000,1000.0,2,1.0
Co-op for sale,Brooklyn,448000,750.0,1,1.0
Pending,Queens,540000,823.0,2,2.0
House for sale,Bronx,549990,1782.0,3,2.0
Condo for sale,The Bronx,299000,671.0,1,1.0
Contingent,Richmond County,840000,1182.0,5,1.0
Condo for sale,New York,15250000,4264.0,4,5.0
Co-op for sale,Queens,420000,1200.0,3,2.0
Multi-family home for sale,Kings County,1550000,2024.0,7,3.0
Condo for sale,New York,975000,1164.0,2,1.0
Co-op for sale,Queens,450500,1200.0,2,1.0
Pending,Bronx,249000,900.0,2,1.0
Townhouse for sale,New York,6995000,3552.0,6,5.0
House for sale,Richmond County,1388800,2146.0,6,4.0
Multi-family home for sale,Bronx,1400000,1600.0,6,2.0
Multi-family home for sale,Kings County,1170000,3120.0,5,4.0
Contingent,Richmond County,748800,1242.0,3,2.0
Condo for sale,Queens,469000,780.0,2,1.0
Pending,Richmond County,860000,2325.0,3,4.0
Condo for sale,Staten Island,285000,613.0,1,1.0
Condo for sale,Brooklyn,489000,1100.0,2,2.0
Multi-family home for sale,Queens,1098000,1155.0,3,3.0
Multi-family home for sale,Kings County,999999,3023.0,8,2.0
Co-op for sale,Queens,180000,500.0,3,1.0
Pending,Kings County,1600000,2128.0,6,2.0
Condo for sale,New York,9995000,2918.0,4,4.0
Co-op for sale,New York,5400000,3800.0,4,2.0
Co-op for sale,New York,3395000,1525.0,2,2.0
Condo for sale,Brooklyn,1050000,2800.0,4,2.0
House for sale,Kings County,799000,1000.0,3,2.0
Condo for sale,New York,698000,721.0,1,1.0
Condo for sale,Queens,558000,747.0,2,1.0
Condo for sale,New York,1900000,1035.0,2,2.0
Condo for sale,New York,2150000,1315.0,3,3.0
House for sale,Queens,769000,992.0,2,2.0
Multi-family home for sale,Bronx,1249999,3491.0,6,3.0
Co-op for sale,Brooklyn,329000,850.0,1,1.0
Co-op for sale,New York,275000,650.0,1,1.0
Co-op for sale,Queens,438000,900.0,1,1.0
Condo for sale,Queens,568000,680.0,1,1.0
Co-op for sale,New York,2150000,2300.0,3,2.0
Multi-family home for sale,Bronx,875000,1688.0,3,2.0
House for sale,Queens,989000,1305.0,4,3.0
Co-op for sale,Queens,499000,1266.0,3,2.0
Condo for sale,Kings County,1199999,1197.0,2,2.0
House for sale,Kings County,580880,1504.0,4,2.0
Contingent,Richmond County,479999,1510.0,3,2.0
Co-op for sale,Brooklyn,460000,950.0,1,1.0
Co-op for sale,New York,5999000,3900.0,4,3.0
Condo for sale,New York,845000,692.0,1,1.0
House for sale,Kings County,729000,1854.0,3,2.0
Co-op for sale,New York,565000,1024.0,4,1.0
House for sale,Kings County,875000,1050.0,2,1.0
Pending,Richmond County,1280000,3600.0,5,4.0
Co-op for sale,Queens,248000,800.0,1,1.0
Condo for sale,New York,4995000,3750.0,3,4.0
Townhouse for sale,New York,6500000,4000.0,5,4.0
Condo for sale,Brooklyn,3200000,1820.0,3,3.0
Multi-family home for sale,Queens,5980000,15500.0,40,20.0
Multi-family home for sale,Kings County,1499000,3090.0,3,2.0
Condo for sale,New York,1599000,1400.0,2,2.0
House for sale,Kings County,549000,1148.0,2,2.0
Condo for sale,Staten Island,249999,596.0,1,1.0
House for sale,Richmond County,699900,2160.0,3,4.0
Multi-family home for sale,Kings County,1149000,1472.0,2,2.0
Co-op for sale,Queens,219000,780.0,1,1.0
House for sale,Richmond County,749999,1063.0,4,3.0
Co-op for sale,Queens,449000,1130.0,1,2.0
Condo for sale,New York,879000,1278.0,2,2.0
Co-op for sale,New York,650000,800.0,1,1.0
Condo for sale,Brooklyn,750000,732.0,2,2.0
Condo for sale,Queens,780000,847.0,2,2.0
House for sale,Queens,925000,2100.0,2,2.0
Co-op for sale,Queens,224995,550.0,3,1.0
Co-op for sale,Brooklyn,239000,670.0,1,1.0
Co-op for sale,Brooklyn,529000,1200.0,2,2.0
Condo for sale,Brooklyn,995000,1782.0,4,2.0
House for sale,Queens,1030000,1624.0,4,2.0
Condo for sale,New York,875000,294.0,3,1.0
Townhouse for sale,Richmond County,598500,1500.0,3,2.0
Condo for sale,Manhattan,1995000,826.0,1,1.0
Condo for sale,Brooklyn,820000,788.0,1,2.0
Condo for sale,New York,1475000,1397.0,2,3.0
Condo for sale,New York,1225000,1050.0,2,2.0
Co-op for sale,New York,1995000,2400.0,5,3.0
Condo for sale,New York,2999999,1770.0,2,2.0
Co-op for sale,Queens,292950,675.0,1,1.0
Contingent,Kings County,990000,6240.0,11,9.0
Condo for sale,Brooklyn,1540000,1357.0,3,3.0
Co-op for sale,New York,679000,700.0,1,1.0
Condo for sale,New York,1475000,1397.0,2,3.0
Condo for sale,New York,1225000,1050.0,2,2.0
Co-op for sale,New York,1995000,2400.0,5,3.0
Condo for sale,New York,2999999,1770.0,2,2.0
House for sale,Kings County,998000,1232.0,3,2.0
Multi-family home for sale,Bronx,920000,2640.0,5,3.0
House for sale,Richmond County,798000,1410.0,4,4.0
Co-op for sale,New York,525000,715.0,1,1.0
Co-op for sale,New York,599000,600.0,1,1.0
Townhouse for sale,New York,6900000,4000.0,4,4.0
Multi-family home for sale,Kings County,1650000,1472.0,3,3.0
Co-op for sale,New York,1100000,980.0,2,1.0
Townhouse for sale,Kings County,1450000,2128.0,4,3.0
Townhouse for sale,New York,22500000,9132.0,4,6.0
Multi-family home for sale,Kings County,2925000,5170.0,3,4.0
Condo for sale,New York,695000,889.0,2,2.0
Condo for sale,New York,650000,776.0,1,1.0
Co-op for sale,New York,1695000,1818.0,3,3.0
Multi-family home for sale,Bronx,1200000,3240.0,7,4.0
Condo for sale,New York,4495000,2012.0,3,3.0
Co-op for sale,Flushing,368000,950.0,2,1.0
Contingent,New York,12850000,5139.0,5,5.0
Co-op for sale,New York,700000,1500.0,4,1.0
Contingent,Richmond County,335900,670.0,1,1.0
Multi-family home for sale,Queens,1149000,4350.0,11,6.0
House for sale,Kings County,1888000,4100.0,3,3.0
Multi-family home for sale,Queens,1288000,2240.0,4,3.0
House for sale,Richmond County,750000,1922.0,3,2.0
Co-op for sale,Queens,324888,713.0,1,1.0
Co-op for sale,Queens,165000,400.0,3,1.0
Co-op for sale,Queens,130000,422.0,3,1.0
Condo for sale,Brooklyn,1049000,897.0,3,1.0
Condo for sale,New York,9995000,2950.0,3,4.0
House for sale,Kings County,750000,1806.0,4,3.0
Contingent,Kings County,750000,1476.0,6,2.0
House for sale,Richmond County,1080000,1824.0,4,3.0
House for sale,Kings County,2888888,5000.0,5,4.0
Co-op for sale,New York,860000,1118.0,3,2.0
Multi-family home for sale,Queens,1180000,3100.0,4,5.0
Co-op for sale,Brooklyn,235000,675.0,1,1.0
Condo for sale,Brooklyn,680000,640.0,2,1.0
House for sale,Kings County,849999,1842.0,4,2.0
House for sale,Queens,1300000,1750.0,5,3.0
Condo for sale,New York,2175000,1666.0,2,2.0
Condo for sale,New York,2795000,1689.0,3,3.0
Pending,Queens,589000,2235.0,4,2.0
Condo for sale,Brooklyn,679000,879.0,2,2.0
Co-op for sale,Queens,169999,750.0,1,1.0
Co-op for sale,Queens,304900,850.0,1,1.0
Condo for sale,New York,600000,600.0,1,1.0
House for sale,Kings County,999000,2000.0,7,4.0
Co-op for sale,Brooklyn,279000,1000.0,2,1.0
Co-op for sale,New York,1250000,1300.0,1,1.0
House for sale,New York,1299800,2600.0,4,4.0
Co-op for sale,Queens,268000,950.0,2,1.0
Co-op for sale,The Bronx,140000,507.0,3,1.0
Multi-family home for sale,Richmond County,2100000,6862.0,3,1.0
Co-op for sale,Queens,293000,649.0,1,1.0
Condo for sale,New York,649000,665.0,1,1.0
Co-op for sale,Queens,298888,700.0,1,1.0
Co-op for sale,New York,1650000,1800.0,3,3.0
Condo for sale,Kings County,538000,1105.0,2,1.0
Co-op for sale,New York,990000,850.0,1,1.0
Condo for sale,New York,4145000,1593.0,2,2.0
Townhouse for sale,Kings County,2545000,3277.0,6,2.0
Co-op for sale,The Bronx,99000,850.0,1,1.0
Co-op for sale,New York,1650000,1800.0,3,3.0
Multi-family home for sale,Richmond County,999888,2016.0,3,4.0
Co-op for sale,The Bronx,99000,850.0,1,1.0
Townhouse for sale,Kings County,2545000,3277.0,6,2.0
Condo for sale,New York,15500000,4064.0,4,4.0
Co-op for sale,New York,3125000,1804.0,2,2.0
Condo for sale,New York,570000,515.0,3,1.0
Co-op for sale,New York,599000,868.0,3,1.0
Co-op for sale,Brooklyn,239000,950.0,2,1.0
Townhouse for sale,New York,5000000,2569.0,3,2.0
Pending,Kings County,1099000,1472.0,3,2.0
Condo for sale,New York,1950000,1117.0,1,2.0
Multi-family home for sale,Kings County,1085000,3480.0,3,8.0
Condo for sale,New York,1950000,1117.0,1,2.0
Pending,Kings County,799000,850.0,2,2.0
House for sale,New York,6995000,9550.0,9,6.0
Contingent,Brooklyn,1150000,1100.0,2,1.0
Co-op for sale,Brooklyn,349000,900.0,2,1.0
Townhouse for sale,New York,6495000,5232.0,6,6.0
Multi-family home for sale,Queens,1800000,5000.0,11,6.0
Condo for sale,New York,1450000,1117.0,3,2.0
Contingent,Richmond County,898888,2080.0,3,3.0
Condo for sale,New York,2980000,1756.0,3,3.0
Multi-family home for sale,Bronx,829000,2276.0,9,3.0
Co-op for sale,Queens,185000,400.0,3,1.0
Condo for sale,Brooklyn,2000000,1441.0,2,2.0
Condo for sale,New York,7600000,3216.0,4,4.0
Condo for sale,New York,575000,1073.0,1,1.0
Co-op for sale,New York,350000,850.0,2,1.0
Condo for sale,New York,7600000,3216.0,4,4.0
Condo for sale,Brooklyn,695000,704.0,3,2.0
House for sale,Kings County,875000,1600.0,4,2.0
Townhouse for sale,Kings County,4000000,5854.0,6,4.0
Co-op for sale,New York,410000,766.0,3,1.0
Multi-family home for sale,Bronx,915000,3096.0,6,5.0
Co-op for sale,New York,995000,1000.0,2,1.0
Co-op for sale,Queens,535000,1000.0,2,1.0
Co-op for sale,Brooklyn,429000,575.0,1,1.0
Multi-family home for sale,Queens,1690000,4600.0,7,7.0
Multi-family home for sale,Kings County,1699999,2160.0,4,3.0
Co-op for sale,Brooklyn,235000,800.0,1,1.0
Contingent,New York,984900,2532.0,3,5.0
Condo for sale,Brooklyn,899000,1010.0,2,1.0
House for sale,Kings County,735000,1600.0,3,2.0
House for sale,Kings County,1499000,2100.0,3,2.0
House for sale,Kings County,735000,1600.0,3,2.0
Multi-family home for sale,Queens,899999,1440.0,5,3.0
Condo for sale,New York,900000,951.0,2,2.0
House for sale,Richmond County,629900,1332.0,3,2.0
Co-op for sale,Brooklyn,280000,650.0,1,1.0
Townhouse for sale,Kings County,1999000,3100.0,5,4.0
Condo for sale,New York,5100000,1676.0,2,2.0
Condo for sale,New York,8500000,2080.0,3,3.0
Condo for sale,The Bronx,1075000,2740.0,3,4.0
Condo for sale,New York,950000,660.0,3,1.0
Co-op for sale,Brooklyn,875000,1275.0,2,2.0
House for sale,Bronx,485000,816.0,2,2.0
Condo for sale,Queens,598000,663.0,1,1.0
House for sale,Kings County,2999000,1732.0,4,2.0
Townhouse for sale,Queens,889000,1056.0,2,1.0
Co-op for sale,Brooklyn,515000,1200.0,2,2.0
House for sale,Richmond County,1600000,3150.0,4,4.0
Multi-family home for sale,Kings County,1900000,2000.0,6,4.0
Co-op for sale,New York,3395000,1800.0,2,2.0
Multi-family home for sale,Kings County,1795000,1800.0,5,3.0
Condo for sale,New York,6998000,3000.0,4,4.0
Multi-family home for sale,Bronx,980000,3210.0,11,3.0
Multi-family home for sale,Richmond County,1400000,2250.0,5,4.0
House for sale,Richmond County,519999,1440.0,3,2.0
Pending,Kings County,1649000,3162.0,7,2.0
Multi-family home for sale,Queens,1750000,4065.0,7,3.0
Co-op for sale,New York,324900,665.0,1,1.0
Condo for sale,New York,870000,620.0,1,1.0
Co-op for sale,Brooklyn,355000,1000.0,2,1.0
Condo for sale,New York,10900000,3633.0,5,6.0
Co-op for sale,Brooklyn,268800,725.0,1,1.0
Condo for sale,Brooklyn,640000,1022.0,1,1.0
Condo for sale,New York,10900000,3633.0,5,6.0
Condo for sale,Brooklyn,640000,1022.0,1,1.0
Co-op for sale,Queens,699000,1400.0,2,2.0
Multi-family home for sale,Queens,1208000,5160.0,11,6.0
Condo for sale,New York,1025000,787.0,1,1.0
Condo for sale,New York,2449000,1744.0,3,2.0
House for sale,Richmond County,659000,1460.0,3,2.0
Multi-family home for sale,Queens,1499000,3570.0,7,4.0
Condo for sale,New York,700000,474.0,3,1.0
Co-op for sale,New York,700000,900.0,2,1.0
Townhouse for sale,New York,4895000,3622.0,4,4.0
Condo for sale,New York,2350000,1847.0,4,2.0
Multi-family home for sale,Richmond County,1190000,3720.0,5,4.0
Condo for sale,New York,5350000,2491.0,3,4.0
Condo for sale,Brooklyn,628000,1097.0,3,2.0
House for sale,Bronx,710000,2250.0,2,2.0
House for sale,Kings County,790000,1744.0,4,2.0
Co-op for sale,New York,800000,900.0,2,1.0
House for sale,Kings County,699000,522.0,3,2.0
Co-op for sale,Queens,416000,950.0,3,1.0
Contingent,Staten Island,225000,650.0,1,1.0
Co-op for sale,Brooklyn,499000,800.0,1,1.0
Co-op for sale,The Bronx,140000,507.0,3,1.0
House for sale,Kings County,790000,1744.0,4,2.0
Condo for sale,New York,2400000,1375.0,2,2.0
Co-op for sale,New York,5995000,4200.0,3,2.0
Multi-family home for sale,Kings County,2850000,6000.0,15,7.0
Condo for sale,Dumbo,5799000,2497.0,3,4.0
Co-op for sale,Brooklyn,229000,500.0,3,1.0
Condo for sale,Brooklyn,3500000,1896.0,3,2.0
House for sale,New York,1288000,1538.0,3,2.0
Multi-family home for sale,Richmond County,1099000,3816.0,6,5.0
House for sale,Queens,868000,1690.0,3,2.0
House for sale,Queens,699900,1827.0,5,1.0
House for sale,Bronx,570000,1728.0,3,2.0
Co-op for sale,Queens,419800,1000.0,2,1.0
Condo for sale,New York,5900000,2706.0,3,3.0
Multi-family home for sale,New York,4000000,7200.0,32,12.0
Condo for sale,New York,1450000,1175.0,2,2.0
Multi-family home for sale,Bronx,975000,1920.0,7,4.0
Co-op for sale,Queens,210000,550.0,3,1.0
Townhouse for sale,New York,8575000,5500.0,6,6.0
Condo for sale,New York,2990000,1721.0,3,2.0
Multi-family home for sale,Kings County,3500000,18400.0,30,20.0
House for sale,Bronx,599900,1534.0,3,2.0
Multi-family home for sale,Kings County,1850000,2240.0,7,3.0
Condo for sale,Brooklyn,888000,1700.0,3,2.0
Condo for sale,New York,1995000,910.0,1,2.0
Contingent,Richmond County,495000,1200.0,2,3.0
House for sale,Bronx,599000,1690.0,3,2.0
Co-op for sale,Queens,178000,719.0,3,1.0
Co-op for sale,The Bronx,279900,850.0,1,1.0
Co-op for sale,New York,935000,1150.0,2,2.0
Pending,New York,750000,1260.0,3,2.0
Co-op for sale,New York,318000,450.0,3,1.0
House for sale,Queens,3399000,3446.0,7,4.0
Townhouse for sale,New York,7800000,7200.0,7,8.0
Co-op for sale,The Bronx,315000,1000.0,2,1.0
Multi-family home for sale,Kings County,2050000,1760.0,4,2.0
Condo for sale,Queens,615000,733.0,2,1.0
Co-op for sale,Queens,178000,719.0,3,1.0
Co-op for sale,The Bronx,279900,850.0,1,1.0
Co-op for sale,New York,385000,440.0,3,1.0
Condo for sale,Staten Island,209000,650.0,1,1.0
Co-op for sale,Queens,259000,590.0,3,1.0
Multi-family home for sale,Kings County,1980000,3536.0,3,3.0
Pending,Bronx,1595000,2627.0,4,2.0
Multi-family home for sale,Bronx,919000,1760.0,6,3.0
Co-op for sale,The Bronx,499000,1200.0,3,2.0
Co-op for sale,New York,359000,850.0,2,1.0
Condo for sale,Queens,771770,710.0,2,2.0
Condo for sale,New York,3550000,2693.0,3,2.0
Townhouse for sale,New York,9750000,7228.0,8,7.0
Co-op for sale,New York,4395000,2700.0,6,4.0
Pending,Bronx,1595000,2627.0,4,2.0
Condo for sale,New York,645000,419.0,3,1.0
Condo for sale,Queens,771770,710.0,2,2.0
Condo for sale,New York,1250000,1434.0,2,2.0
Condo for sale,New York,7990000,5202.0,5,4.0
Multi-family home for sale,Kings County,1399000,2049.0,4,4.0
Co-op for sale,The Bronx,1049000,2400.0,4,3.0
House for sale,Bronx,995000,2000.0,4,3.0
Co-op for sale,New York,750000,1600.0,3,2.0
Co-op for sale,Brooklyn,300000,800.0,1,1.0
House for sale,Richmond County,675888,1662.0,3,1.0
Townhouse for sale,Kings County,4400000,2400.0,3,2.0
Condo for sale,New York,7990000,5202.0,5,4.0
Multi-family home for sale,Kings County,2749000,4480.0,3,6.0
Townhouse for sale,Kings County,860000,2000.0,3,2.0
Condo for sale,New York,1195000,713.0,1,1.0
House for sale,Queens,825000,1400.0,3,2.0
Pending,New York,999000,1150.0,1,2.0
Townhouse for sale,Kings County,860000,2000.0,3,2.0
Condo for sale,New York,1195000,713.0,1,1.0
Multi-family home for sale,Queens,1169900,2310.0,6,4.0
House for sale,Kings County,2795000,3600.0,6,6.0
House for sale,New York,6250000,4500.0,4,2.0
Multi-family home for sale,Kings County,2099000,3520.0,3,6.0
Co-op for sale,Queens,240000,500.0,3,1.0
Co-op for sale,New York,1195000,650.0,2,2.0
House for sale,Bronx,699000,2040.0,3,2.0
Multi-family home for sale,Kings County,1398000,4440.0,9,6.0
Co-op for sale,Queens,299000,650.0,3,1.0
Co-op for sale,New York,500000,450.0,3,1.0
Co-op for sale,Brooklyn,298000,790.0,1,1.0
Condo for sale,Queens,748000,713.0,2,2.0
House for sale,Bronx,735000,2350.0,3,2.0
Pending,Queens,100000,445.0,3,1.0
Co-op for sale,New York,3750000,2300.0,2,2.0
House for sale,Richmond County,399999,1056.0,2,1.0
House for sale,Bronx,599000,1665.0,4,2.0
Condo for sale,New York,18950000,5075.0,4,4.0
Condo for sale,New York,2300000,1035.0,2,2.0
Multi-family home for sale,Richmond County,1459000,3500.0,5,4.0
Condo for sale,Bronx,510000,972.0,2,2.0
Condo for sale,New York,825000,1001.0,2,2.0
House for sale,Bronx,1150000,1352.0,3,2.0
Condo for sale,New York,6895000,2114.0,2,2.0
Co-op for sale,The Bronx,165000,750.0,1,1.0
House for sale,Richmond County,874900,1500.0,3,4.0
Pending,Brooklyn,495000,1100.0,2,2.0
Co-op for sale,The Bronx,245000,863.0,1,1.0
Condo for sale,Brooklyn,565000,804.0,1,1.0
Co-op for sale,New York,1950000,1265.0,3,2.0
Co-op for sale,New York,1200000,1120.0,1,1.0
Multi-family home for sale,Kings County,1595000,4420.0,9,6.0
Multi-family home for sale,Kings County,1495000,5148.0,3,6.0
House for sale,New York,1248000,2450.0,4,2.0
Pending,Brooklyn,495000,1100.0,2,2.0
Condo for sale,Brooklyn,565000,804.0,1,1.0
Co-op for sale,The Bronx,165000,750.0,1,1.0
Co-op for sale,New York,399000,675.0,1,1.0
Co-op for sale,New York,4895000,3594.0,4,2.0
Co-op for sale,New York,11175000,3841.0,4,6.0
Multi-family home for sale,Kings County,1849000,3001.0,6,3.0
Co-op for sale,New York,699000,700.0,1,1.0
Condo for sale,The Bronx,320000,802.0,2,1.0
Condo for sale,Queens,418000,684.0,1,1.0
Multi-family home for sale,Kings County,1399000,3448.0,8,6.0
House for sale,Richmond County,339000,700.0,2,1.0
House for sale,Queens,699000,4000.0,3,1.0
Condo for sale,Kings County,1750000,3364.0,6,3.0
Multi-family home for sale,Kings County,2100000,2000.0,3,3.0
Co-op for sale,The Bronx,205900,750.0,1,1.0
Co-op for sale,Brooklyn,265000,765.0,1,1.0
House for sale,Bronx,775000,1696.0,3,1.0
House for sale,Richmond County,685000,2269.0,4,2.0
Co-op for sale,New York,699000,700.0,1,1.0
Condo for sale,Queens,445000,402.0,3,1.0
Co-op for sale,Brooklyn,399000,960.0,2,1.0
Multi-family home for sale,Queens,1990000,2150.0,6,5.0
Co-op for sale,New York,7500000,4200.0,6,6.0
Co-op for sale,Brooklyn,479000,1100.0,2,1.0
Co-op for sale,New York,4995000,5500.0,4,4.0
Condo for sale,New York,5950000,1853.0,2,2.0
Condo for sale,New York,599000,626.0,1,1.0
Condo for sale,Brooklyn,420000,668.0,1,1.0
Contingent,Kings County,2400000,3248.0,3,2.0
Co-op for sale,New York,2199000,1770.0,2,2.0
Co-op for sale,New York,595000,700.0,1,1.0
Co-op for sale,Brooklyn,249000,1000.0,2,1.0
Condo for sale,New York,11000000,3452.0,4,4.0
Multi-family home for sale,Bronx,1180000,3321.0,8,4.0
Co-op for sale,The Bronx,115000,550.0,3,1.0
Condo for sale,New York,779000,638.0,1,1.0
Multi-family home for sale,Kings County,1850000,4719.0,12,7.0
Condo for sale,Manhattan,9975000,2241.0,3,3.0
Townhouse for sale,Queens,925000,1875.0,3,2.0
House for sale,Richmond County,685000,2269.0,4,2.0
Townhouse for sale,New York,3400000,4852.0,5,4.0
House for sale,Richmond County,699000,1008.0,3,2.0
Multi-family home for sale,Bronx,790000,1784.0,4,3.0
Co-op for sale,New York,2199000,1770.0,2,2.0
Condo for sale,New York,11000000,3452.0,4,4.0
Condo for sale,Brooklyn,7750000,3701.0,5,6.0
Townhouse for sale,New York,19995000,8757.0,6,8.0
House for sale,Kings County,899000,1056.0,2,2.0
Condo for sale,New York,795000,860.0,1,1.0
Co-op for sale,Brooklyn,275000,880.0,1,1.0
Multi-family home for sale,Bronx,775000,2910.0,6,2.0
House for sale,Bronx,699000,1838.0,5,4.0
Co-op for sale,Queens,330000,656.0,1,1.0
House for sale,Queens,590000,1152.0,5,3.0
Multi-family home for sale,Bronx,775000,2910.0,6,2.0
House for sale,Kings County,1250000,2049.0,3,2.0
Co-op for sale,New York,975000,1270.0,2,2.0
House for sale,Kings County,1699000,2200.0,3,2.0
Co-op for sale,Queens,190000,500.0,3,1.0
Co-op for sale,New York,405000,550.0,3,1.0
House for sale,Queens,738280,1302.0,3,1.0
Multi-family home for sale,Kings County,950000,1660.0,5,2.0
Condo for sale,New York,800000,916.0,3,1.0
Condo for sale,Brooklyn,359000,920.0,2,1.0
Co-op for sale,New York,1950000,960.0,2,2.0
Condo for sale,Brooklyn,2950000,1709.0,3,2.0
Condo for sale,New York,760000,700.0,1,1.0
Multi-family home for sale,Bronx,675999,2070.0,3,2.0
Condo for sale,Brooklyn,380000,393.0,3,1.0
Condo for sale,Brooklyn,380000,393.0,3,1.0
Condo for sale,New York,800000,916.0,3,1.0
Condo for sale,Brooklyn,649000,1150.0,3,2.0
Condo for sale,Brooklyn,475000,739.0,1,1.0
Townhouse for sale,New York,7250000,4930.0,1,2.0
Multi-family home for sale,Kings County,1799000,5031.0,11,6.0
Condo for sale,Manhattan,3995000,2456.0,3,4.0
Pending,Brooklyn,210000,850.0,1,1.0
Co-op for sale,New York,3200000,1825.0,3,4.0
Co-op for sale,Queens,579000,1200.0,3,2.0
Condo for sale,Queens,648888,950.0,2,2.0
Multi-family home for sale,Queens,989000,3978.0,7,5.0
Co-op for sale,The Bronx,154900,700.0,1,1.0
Condo for sale,Brooklyn,399000,577.0,1,1.0
Condo for sale,New York,589000,415.0,3,1.0
Pending,Richmond County,565000,1238.0,2,2.0
Townhouse for sale,Richmond County,760000,2337.0,2,2.0
Condo for sale,New York,3795000,2250.0,3,3.0
Co-op for sale,Queens,199999,471.0,3,1.0
Co-op for sale,New York,2500000,3200.0,3,2.0
Co-op for sale,Queens,258000,500.0,3,1.0
House for sale,Richmond County,685000,1280.0,3,2.0
Condo for sale,New York,3250000,2292.0,3,2.0
Condo for sale,Staten Island,245000,800.0,1,1.0
Co-op for sale,The Bronx,729000,1400.0,3,2.0
Multi-family home for sale,Bronx,779000,1557.0,3,2.0
Condo for sale,Brooklyn,1090000,1295.0,3,3.0
Co-op for sale,Brooklyn,365000,925.0,2,1.0
Pending,Brooklyn,1099000,715.0,1,1.0
Townhouse for sale,New York,12495000,6310.0,4,4.0
Condo for sale,New York,1990000,1309.0,2,2.0
Multi-family home for sale,Bronx,1200000,2808.0,6,4.0
Co-op for sale,Brooklyn,473000,1000.0,2,1.0
Condo for sale,New York,25000000,4089.0,5,6.0
Contingent,Kings County,850000,1976.0,8,3.0
Co-op for sale,The Bronx,133000,630.0,1,1.0
Multi-family home for sale,Queens,1548000,4539.0,9,4.0
Multi-family home for sale,Bronx,850000,3024.0,5,3.0
Multi-family home for sale,New York,995000,2125.0,6,3.0
Condo for sale,New York,25000000,4089.0,5,6.0
House for sale,New York,2800000,1800.0,2,1.0
Condo for sale,New York,4995000,2803.0,3,2.0
House for sale,Kings County,2570000,2000.0,5,2.0
Co-op for sale,The Bronx,225000,900.0,1,1.0
Co-op for sale,Queens,345000,900.0,1,1.0
House for sale,Kings County,875000,1974.0,5,2.0
Co-op for sale,New York,649000,687.0,1,1.0
Condo for sale,Brooklyn,659000,714.0,2,1.0
Co-op for sale,Brooklyn,429000,850.0,2,1.0
Pending,Queens,959000,1719.0,2,2.0
